id_del_pedido,order_date,mesa,canal,nombre_del_plato,categoria,cantidad,precio_unitario,total,camarero,pagado
1,2024-01-08,2,Salon,Pizza hawaiana,Pizza,3,40310.55,120931.65,Sofia,Si
2,2024-02-22,5,Salon,Sopa del dia,Sopas,6,38632.79,231796.74,Andres,Si
3,2024-02-29,2,Domicilio,Ensalada Cesar,Ensaladas,2,36256.53,72513.06,Pedro,No
4,2024-01-21,None,Para llevar,Ensalada Cesar,Ensaladas,1,19095.79,19095.79,Andres,Si
5,2024-01-15,None,Salon,Ensalada Cesar,Ensaladas,5,15040.87,75204.35,Pedro,Si
6,2024-01-07,None,Domicilio,Perro caliente,Comida rapida,5,39472.35,197361.75,Sofia,No
7,2024-01-30,4,Domicilio,Sopa del dia,Sopas,5,14590.36,72951.8,Laura,Si
8,2024-01-12,4,Domicilio,Lasana,Pasta,5,23019.39,115096.95,Pedro,Si
9,2024-02-05,4,Salon,Ensalada Cesar,Ensaladas,4,44085.86,176343.44,Pedro,Si
10,2024-01-03,2,Domicilio,Pizza margarita,Pizza,1,39322.7,39322.7,Andres,No
11,2024-02-19,None,Para llevar,Lasana,Pasta,6,21242.69,127456.14,Laura,Si
12,2024-02-12,5,Para llevar,Lasana,Pasta,3,34552.89,103658.67,Pedro,Si
13,2024-01-28,3,Para llevar,Ensalada Cesar,Ensaladas,5,33663.52,168317.6,Laura,No
14,2024-01-17,3,Para llevar,Pizza hawaiana,Pizza,4,33281.46,133125.84,Andres,Si
15,2024-01-24,None,Salon,Ensalada Cesar,Ensaladas,1,27850.82,27850.82,Laura,No
16,2024-02-12,3,Salon,Hamburguesa clasica,Comida rapida,2,25008.99,50017.98,Sofia,Si
17,2024-01-19,None,Para llevar,Pizza hawaiana,Pizza,6,28606.04,171636.24,Andres,Si
18,2024-01-24,None,Para llevar,Perro caliente,Comida rapida,3,25650.3,76950.9,Pedro,No
19,2024-02-14,,Salon,Sopa del dia,Sopas,2,36071.24,72142.48,Sofia,Si
20,2024-02-20,5,Para llevar,Ensalada Cesar,Ensaladas,6,31860.77,191164.62,Pedro,Si
21,2024-01-21,4,Salon,Hamburguesa clasica,Comida rapida,1,12596.84,12596.84,Sofia,Si
22,2024-01-24,None,Para llevar,Pizza hawaiana,Pizza,4,28837.25,115349.0,Andres,Si
23,2024-01-15,5,Para llevar,Pizza margarita,Pizza,2,32818.46,65636.92,Sofia,No
24,2024-01-06,5,Para llevar,Perro caliente,Comida rapida,4,24642.12,98568.48,Laura,Si
25,2024-01-23,5,Para llevar,Hamburguesa clasica,Comida rapida,5,13485.14,67425.7,Sofia,No
26,2024-01-11,1,Para llevar,Pizza hawaiana,Pizza,1,13134.55,13134.55,Laura,No
27,2024-02-13,5,Para llevar,Sopa del dia,Sopas,6,23128.85,138773.1,Andres,No
28,2024-01-24,1,Salon,Ensalada Cesar,Ensaladas,4,31531.74,126126.96,Sofia,No
29,2024-02-10,,Salon,Pizza margarita,Pizza,4,17317.43,69269.72,Andres,Si
